Frequency,Uncertainty,A,Intensity,Molecule,Isotopologue,Dataset,"E""",g',"g""",J',"J""",QN',"QN"""
   15.449716,    0.000003,6.7654E-05,1.4448E-25,H2O,1H2-16O,POKAZATEL, 1907.451332,     9,     7,      4,      3,  2  2  0  1  0  A1                               ,  3  1  0  1  0  A2                               
   15.707163,    0.000016,3.4454E-05,2.7945E-23,H2O,1H2-16O,POKAZATEL,  742.072987,    13,    11,      6,      5,  4  2  0  0  0  A1                               ,  5  1  0  0  0  A2                               
   15.833924,    0.000003,4.7590E-05,1.0948E-22,H2O,1H2-16O,POKAZATEL,  488.134172,    11,     9,      5,      4,  3  3  0  0  0  A2                               ,  4  0  0  0  0  A1                               
   16.294310,    0.000005,1.3557E-05,2.2324E-23,H2O,1H2-16O,POKAZATEL,  586.479185,    13,    15,      6,      7,  2  4  0  0  0  A1                               ,  1  7  0  0  0  A2                               
   16.628226,    0.000002,8.5807E-05,1.2806E-26,H2O,1H2-16O,POKAZATEL, 2552.879660,    15,    13,      7,      6,  4  4  0  1  0  A1                               ,  5  1  0  1  0  A2                               
   16.797215,    0.000020,2.6087E-05,3.3830E-24,H2O,1H2-16O,POKAZATEL, 1394.814078,    51,    45,      8,      7,  6  3  0  0  0  B1                               ,  7  0  0  0  0  B2                               
   16.827725,    0.000020,2.6230E-05,1.1317E-24,H2O,1H2-16O,POKAZATEL, 1394.814025,    17,    15,      8,      7,  6  2  0  0  0  A1                               ,  7  1  0  0  0  A2                               
   17.219579,    0.000004,1.2136E-04,1.6179E-28,H2O,1H2-16O,POKAZATEL, 3299.990966,     5,     7,      2,      3,  2  0  0  2  0  A1                               ,  1  3  0  2  0  A2                               
   17.488531,    0.000055,2.9433E-03,2.3234E-28,H2O,1H2-16O,POKAZATEL, 3779.493137,     3,     3,      1,      1,  1  0  0  0  1  A1                               ,  0  1  0  0  1  A2                               
   17.561701,    0.000010,1.7393E-04,2.1980E-29,H2O,1H2-16O,POKAZATEL, 4016.052789,    15,    13,      7,      6,  3  5  0  2  0  A2                               ,  4  2  0  2  0  A1                               
   17.690374,    0.000017,2.9113E-05,2.5893E-26,H2O,1H2-16O,POKAZATEL, 2533.791758,    87,    81,     14,     13,  3 12  0  0  0  B2                               ,  4  9  0  0  0  B1                               
   18.037613,    0.000016,3.1677E-03,1.1680E-27,H2O,1H2-16O,POKAZATEL, 3680.453479,     9,     9,      1,      1,  1  0  1  0  0  B2                               ,  0  1  1  0  0  B1                               
   18.235630,    0.000002,1.6203E-04,2.2197E-25,H2O,1H2-16O,POKAZATEL, 2005.916953,    11,     9,      5,      4,  2  4  0  1  0  A1                               ,  3  1  0  1  0  A2                               
   18.295172,    0.000006,6.6037E-05,1.1893E-28,H2O,1H2-16O,POKAZATEL, 3752.415521,    63,    57,     10,      9,  7  4  0  1  0  B2                               ,  8  1  0  1  0  B1                               
   18.308348,    0.000010,6.6181E-05,3.9699E-29,H2O,1H2-16O,POKAZATEL, 3752.415819,    21,    19,     10,      9,  7  3  0  1  0  A2                               ,  8  2  0  1  0  A1                               
   18.481078,    0.000006,2.3855E-04,1.1483E-27,H2O,1H2-16O,POKAZATEL, 3316.145211,    21,    15,      3,      2,  1  2  0  2  0  B2                               ,  2  1  0  2  0  B1                               
   18.574241,    0.000005,1.2559E-04,2.7137E-28,H2O,1H2-16O,POKAZATEL, 3482.064329,    21,    27,      3,      4,  3  0  0  2  0  B2                               ,  2  3  0  2  0  B1                               
   18.577385,    0.000000,3.4440E-03,5.0893E-20,H2O,1H2-16O,POKAZATEL,   23.794352,     9,     9,      1,      1,  1  0  0  0  0  B2                               ,  0  1  0  0  0  B1                               
   18.896455,    0.000004,1.4934E-04,4.9832E-29,H2O,1H2-16O,POKAZATEL, 4052.836634,    51,    45,      8,      7,  2  7  0  2  0  B1                               ,  3  4  0  2  0  B2                               
   19.077075,    0.000005,2.7652E-05,3.4687E-26,H2O,1H2-16O,POKAZATEL, 2414.721994,    75,    81,     12,     13,  6  7  0  0  0  B1                               ,  3 10  0  0  0  B2                               
   19.281919,    0.000002,1.3483E-04,5.1739E-26,H2O,1H2-16O,POKAZATEL, 2552.857044,    45,    39,      7,      6,  4  3  0  1  0  B1                               ,  5  2  0  1  0  B2                               
   19.736840,    0.000036,2.5393E-05,6.6630E-28,H2O,1H2-16O,POKAZATEL, 3244.599300,    87,    93,     14,     15,  7  8  0  0  0  B2                               ,  4 11  0  0  0  B1                               
   19.803970,    0.000003,8.4488E-05,7.5613E-27,H2O,1H2-16O,POKAZATEL, 2670.789526,    19,    17,      9,      8,  2  8  0  1  0  A1                               ,  3  5  0  1  0  A2                               
   19.849725,    0.000002,1.8323E-04,2.5039E-25,H2O,1H2-16O,POKAZATEL, 2251.862176,    39,    33,      6,      5,  3  4  0  1  0  B2                               ,  4  1  0  1  0  B1                               
   20.374025,    0.000004,2.4298E-04,5.2016E-29,H2O,1H2-16O,POKAZATEL, 3873.793588,    15,    13,      7,      6,  2  6  0  2  0  A1                               ,  3  3  0  2  0  A2                               
   20.704355,    0.000001,1.0917E-04,5.6966E-22,H2O,1H2-16O,POKAZATEL,  488.107694,    33,    27,      5,      4,  3  2  0  0  0  B2                               ,  4  1  0  0  0  B1                               
   21.540434,    0.000039,4.5739E-05,2.5725E-25,H2O,1H2-16O,POKAZATEL, 1789.042541,    19,    17,      9,      8,  7  3  0  0  0  A2                               ,  8  0  0  0  0  A1                               
   21.545092,    0.000039,4.5769E-05,7.7207E-25,H2O,1H2-16O,POKAZATEL, 1789.042536,    57,    51,      9,      8,  7  2  0  0  0  B2                               ,  8  1  0  0  0  B1                               
   21.948733,    0.000010,5.4899E-03,3.2482E-23,H2O,1H2-16O,POKAZATEL, 1618.556845,     9,     9,      1,      1,  1  0  0  1  0  B2                               ,  0  1  0  1  0  B1                               
   24.031836,    0.000005,1.8768E-04,1.2544E-28,H2O,1H2-16O,POKAZATEL, 3722.730860,    27,    33,      4,      5,  4  1  0  2  0  B1                               ,  3  2  0  2  0  B2                               
   24.172304,    0.000001,6.3217E-03,1.4271E-27,H2O,1H2-16O,POKAZATEL, 3825.213115,    15,    15,      2,      2,  1  1  0  0  1  B1                               ,  0  2  0  0  1  B2                               
   24.522486,    0.000005,6.5568E-03,7.8227E-28,H2O,1H2-16O,POKAZATEL, 3725.942128,     5,     5,      2,      2,  1  1  1  0  0  A2                               ,  0  2  1  0  0  A1                               
   25.034294,    0.000012,1.4838E-04,2.0219E-29,H2O,1H2-16O,POKAZATEL, 4240.941548,    69,    63,     11,     10,  8  3  0  1  0  B1                               ,  9  2  0  1  0  B2                               
   25.063381,    0.000005,1.5932E-04,2.2228E-28,H2O,1H2-16O,POKAZATEL, 3601.858677,    33,    39,      5,      6,  2  3  0  2  0  B1                               ,  1  6  0  2  0  B2                               
   25.085127,    0.000001,7.0216E-03,3.3670E-20,H2O,1H2-16O,POKAZATEL,   70.090809,     5,     5,      2,      2,  1  1  0  0  0  A2                               ,  0  2  0  0  0  A1                               
   25.578067,    0.000024,7.2516E-05,1.8123E-25,H2O,1H2-16O,POKAZATEL, 1960.206081,    23,    25,     11,     12,  5  7  0  0  0  A2                               ,  2 10  0  0  0  A1                               
   25.846842,    0.000005,8.8505E-05,7.0890E-28,H2O,1H2-16O,POKAZATEL, 3136.411255,    21,    23,     10,     11,  3  7  0  1  0  A2                               ,  2 10  0  1  0  A1                               
   25.867769,    0.000006,2.3977E-03,3.4315E-27,H2O,1H2-16O,POKAZATEL, 3196.093167,     5,     3,      2,      1,  0  2  0  2  0  A1                               ,  1  1  0  2  0  A2                               
   26.472189,    0.000009,9.2509E-03,2.5675E-26,H2O,1H2-16O,POKAZATEL, 3175.441068,     9,     9,      1,      1,  1  0  0  2  0  B2                               ,  0  1  0  2  0  B1                               
   27.359721,    0.000030,1.2393E-04,1.8406E-29,H2O,1H2-16O,POKAZATEL, 4049.535958,    33,    33,      5,      5,  1  5  0  0  1  B1                               ,  1  4  1  0  0  B2                               
   27.474703,    0.000025,1.5986E-04,1.6344E-29,H2O,1H2-16O,POKAZATEL, 4126.463219,    33,    27,      5,      4,  3  2  1  0  0  B2                               ,  3  1  0  0  1  B1                               
   27.570850,    0.000008,1.2414E-04,3.3815E-29,H2O,1H2-16O,POKAZATEL, 4174.284481,   111,   105,     18,     17,  4 15  0  0  0  B1                               ,  5 12  0  0  0  B2                               
   28.054872,    0.000035,8.7528E-05,1.9783E-24,H2O,1H2-16O,POKAZATEL, 1690.663544,    63,    69,     10,     11,  5  6  0  0  0  B2                               ,  2  9  0  0  0  B1                               
   28.488028,    0.000018,9.9359E-05,1.8259E-25,H2O,1H2-16O,POKAZATEL, 2246.883887,    75,    81,     12,     13,  5  8  0  0  0  B2                               ,  2 11  0  0  0  B1                               
   28.685363,    0.000001,1.0392E-02,2.0593E-23,H2O,1H2-16O,POKAZATEL, 1664.964579,     5,     5,      2,      2,  1  1  0  1  0  A2                               ,  0  2  0  1  0  A1                               
   28.814569,    0.000032,9.3593E-05,1.5816E-25,H2O,1H2-16O,POKAZATEL, 2225.468693,    63,    57,     10,      9,  8  3  0  0  0  B1                               ,  9  0  0  0  0  B2                               
   28.815261,    0.000032,9.3600E-05,5.2724E-26,H2O,1H2-16O,POKAZATEL, 2225.468698,    21,    19,     10,      9,  8  2  0  0  0  A1                               ,  9  1  0  0  0  A2                               
   29.056121,    0.000003,8.7474E-04,1.0631E-27,H2O,1H2-16O,POKAZATEL, 3597.865937,    33,    27,      5,      4,  2  3  0  2  0  B1                               ,  3  2  0  2  0  B2                               
   29.997488,    0.000001,4.0736E-03,8.8862E-24,H2O,1H2-16O,POKAZATEL, 1634.967091,     5,     3,      2,      1,  0  2  0  1  0  A1                               ,  1  1  0  1  0  A2                               
   30.100668,    0.000003,1.1380E-04,4.6856E-26,H2O,1H2-16O,POKAZATEL, 2181.089840,    13,    15,      6,      7,  2  4  0  1  0  A1                               ,  1  7  0  1  0  A2                               
   30.107813,    0.000001,1.1505E-03,6.2748E-24,H2O,1H2-16O,POKAZATEL, 1742.305406,    21,    15,      3,      2,  1  2  0  1  0  B2                               ,  2  1  0  1  0  B1                               
   30.227744,    0.000002,2.1954E-04,2.9823E-23,H2O,1H2-16O,POKAZATEL, 1050.157545,    19,    17,      9,      8,  2  8  0  0  0  A1                               ,  3  5  0  0  0  A2                               
   30.455861,    0.000013,3.2512E-04,2.8580E-29,H2O,1H2-16O,POKAZATEL, 4135.017867,    33,    27,      5,      4,  2  4  0  0  1  B2                               ,  4  1  1  0  0  B1                               
   30.560195,    0.000001,5.6638E-04,1.4118E-21,H2O,1H2-16O,POKAZATEL,  285.219348,     9,     7,      4,      3,  2  2  0  0  0  A1                               ,  3  1  0  0  0  A2                               
   30.791748,    0.000001,8.5175E-04,1.3088E-24,H2O,1H2-16O,POKAZATEL, 2130.494016,    39,    33,      6,      5,  2  5  0  1  0  B1                               ,  3  2  0  1  0  B2                               
   30.894287,    0.000002,7.3262E-04,2.0909E-25,H2O,1H2-16O,POKAZATEL, 2251.695193,    13,    11,      6,      5,  3  3  0  1  0  A2                               ,  4  2  0  1  0  A1                               
   31.348490,    0.000032,5.8770E-04,3.5614E-29,H2O,1H2-16O,POKAZATEL, 3935.210687,     9,     7,      4,      3,  2  2  1  0  0  A1                               ,  3  1  1  0  0  A2                               
   32.045389,    0.000033,7.8178E-05,1.6171E-29,H2O,1H2-16O,POKAZATEL, 4174.284481,    99,   105,     16,     17,  8  9  0  0  0  B1                               ,  5 12  0  0  0  B2                               
   32.366222,    0.000002,8.9483E-04,1.5973E-21,H2O,1H2-16O,POKAZATEL,  383.842522,    11,     9,      5,      4,  2  4  0  0  0  A1                               ,  3  1  0  0  0  A2                               
   32.648386,    0.000002,5.7416E-03,5.9038E-28,H2O,1H2-16O,POKAZATEL, 3693.293742,     5,     3,      2,      1,  0  2  1  0  0  A1                               ,  1  1  1  0  0  A2                               
   32.953688,    0.000001,5.8271E-03,2.4457E-20,H2O,1H2-16O,POKAZATEL,   37.137121,     5,     3,      2,      1,  0  2  0  0  0  A1                               ,  1  1  0  0  0  A2                               
   32.964914,    0.000112,1.7014E-02,2.6090E-29,H2O,1H2-16O,POKAZATEL, 4690.579667,     9,     9,      1,      1,  1  0  0  3  0  B2                               ,  0  1  0  3  0  B1                               
   33.278229,    0.000038,9.2401E-04,4.0373E-29,H2O,1H2-16O,POKAZATEL, 4031.853422,    11,     9,      5,      4,  2  4  1  0  0  A1                               ,  3  1  1  0  0  A2                               
   33.384881,    0.000001,1.6133E-02,1.5527E-26,H2O,1H2-16O,POKAZATEL, 3221.960936,     5,     5,      2,      2,  1  1  0  2  0  A2                               ,  0  2  0  2  0  A1                               
   33.388005,    0.000026,1.3660E-04,2.5745E-27,H2O,1H2-16O,POKAZATEL, 3211.211295,    93,    99,     15,     16,  4 11  0  0  0  B1                               ,  3 14  0  0  0  B2                               
   33.512176,    0.000001,6.4546E-03,1.2076E-27,H2O,1H2-16O,POKAZATEL, 3791.700939,    15,     9,      2,      1,  0  2  0  0  1  B2                               ,  1  1  0  0  1  B1                               
   33.917100,    0.000007,1.5832E-04,1.2659E-29,H2O,1H2-16O,POKAZATEL, 4165.473728,    39,    33,      6,      5,  2  5  1  0  0  B1                               ,  2  4  0  0  1  B2                               
   34.451012,    0.000011,3.9134E-04,1.7769E-29,H2O,1H2-16O,POKAZATEL, 4016.052789,    11,    13,      5,      6,  5  1  0  2  0  A2                               ,  4  2  0  2  0  A1                               
   34.997459,    0.000006,4.0476E-04,5.4344E-29,H2O,1H2-16O,POKAZATEL, 4015.514783,    33,    39,      5,      6,  5  0  0  2  0  B2                               ,  4  3  0  2  0  B1                               
   35.647183,    0.000031,1.8268E-04,2.2103E-26,H2O,1H2-16O,POKAZATEL, 2550.881520,    27,    29,     13,     14,  5  9  0  0  0  A2                               ,  2 12  0  0  0  A1                               
   35.772305,    0.000018,1.6797E-02,2.0859E-27,H2O,1H2-16O,POKAZATEL, 3755.928634,     9,     3,      1,      0,  1  1  0  0  1  B1                               ,  0  0  0  0  1  B2                               
   35.950299,    0.000001,1.1333E-03,2.7331E-25,H2O,1H2-16O,POKAZATEL, 2282.589480,    15,    13,      7,      6,  2  6  0  1  0  A1                               ,  3  3  0  1  0  A2                               
   36.020497,    0.000008,1.5496E-02,3.7599E-27,H2O,1H2-16O,POKAZATEL, 3791.372103,    21,    21,      3,      3,  1  2  1  0  0  B2                               ,  0  3  1  0  0  B1                               
   36.032875,    0.000013,1.5373E-02,7.7141E-28,H2O,1H2-16O,POKAZATEL, 3890.829472,     7,     7,      3,      3,  1  2  0  0  1  A1                               ,  0  3  0  0  1  A2                               
   36.052547,    0.000042,9.9263E-04,9.8470E-29,H2O,1H2-16O,POKAZATEL, 4030.069853,    27,    21,      4,      3,  2  2  0  0  1  B2                               ,  3  1  0  0  1  B1                               
   36.055649,    0.000001,1.9016E-02,8.0222E-28,H2O,1H2-16O,POKAZATEL, 3926.862347,     7,     7,      3,      3,  2  1  0  0  1  A2                               ,  1  2  0  0  1  A1                               
   36.192140,    0.000004,1.7994E-03,1.5713E-28,H2O,1H2-16O,POKAZATEL, 4188.394214,    51,    45,      8,      7,  3  6  0  2  0  B2                               ,  4  3  0  2  0  B1                               
   36.240487,    0.000200,1.7139E-02,1.1240E-27,H2O,1H2-16O,POKAZATEL, 3657.053255,     3,     1,      1,      0,  1  1  1  0  0  A2                               ,  0  0  1  0  0  A1                               
   36.310218,    0.000008,4.9686E-04,1.1972E-28,H2O,1H2-16O,POKAZATEL, 3843.409198,    27,    25,     13,     12,  3 11  0  1  0  A2                               ,  4  8  0  1  0  A1                               
   36.604138,    0.000005,1.6383E-02,1.5987E-19,H2O,1H2-16O,POKAZATEL,  136.761674,    21,    21,      3,      3,  1  2  0  0  0  B2                               ,  0  3  0  0  0  B1                               
   36.668697,    0.000004,9.0070E-04,4.2829E-29,H2O,1H2-16O,POKAZATEL, 4256.241159,    39,    33,      6,      5,  3  4  1  0  0  B2                               ,  4  1  1  0  0  B1                               
   36.730074,    0.000004,1.3427E-04,1.1321E-25,H2O,1H2-16O,POKAZATEL, 2105.866575,    23,    25,     11,     12,  6  6  0  0  0  A1                               ,  3  9  0  0  0  A2                               
   37.012508,    0.000004,1.5708E-04,2.6705E-24,H2O,1H2-16O,POKAZATEL, 1437.967690,    19,    21,      9,     10,  5  5  0  0  0  A2                               ,  2  8  0  0  0  A1                               
   37.137121,    0.000000,1.8352E-02,4.8528E-20,H2O,1H2-16O,POKAZATEL,    0.000000,     3,     1,      1,      0,  1  1  0  0  0  A2                               ,  0  0  0  0  0  A1                               
   37.321851,    0.000003,1.8423E-03,3.1458E-28,H2O,1H2-16O,POKAZATEL, 4015.514783,    45,    39,      7,      6,  3  4  0  2  0  B2                               ,  4  3  0  2  0  B1                               
   37.371127,    0.000001,2.0503E-02,4.0216E-27,H2O,1H2-16O,POKAZATEL, 3827.392600,    21,    21,      3,      3,  2  1  1  0  0  B1                               ,  1  2  1  0  0  B2                               
   37.728858,    0.000001,1.5350E-02,1.9154E-27,H2O,1H2-16O,POKAZATEL, 3849.385419,    15,    15,      2,      2,  2  0  0  0  1  B2                               ,  1  1  0  0  1  B1                               
   38.077480,    0.000004,1.1337E-03,2.7657E-27,H2O,1H2-16O,POKAZATEL, 3526.627375,    63,    57,     10,      9,  6  5  0  1  0  B1                               ,  7  2  0  1  0  B2                               
   38.247163,    0.000005,1.0687E-04,1.1571E-22,H2O,1H2-16O,POKAZATEL,  744.162658,    45,    51,      7,      8,  2  5  0  0  0  B1                               ,  1  8  0  0  0  B2                               
   38.318811,    0.000001,2.4838E-02,2.3312E-27,H2O,1H2-16O,POKAZATEL, 4027.803589,    27,    27,      4,      4,  2  2  0  0  1  B2                               ,  1  3  0  0  1  B1                               
   38.333563,    0.000003,1.3506E-03,7.5910E-27,H2O,1H2-16O,POKAZATEL, 3101.141959,    19,    17,      9,      8,  5  5  0  1  0  A2                               ,  6  2  0  1  0  A1                               
   38.409343,    0.000005,3.8778E-04,1.0227E-29,H2O,1H2-16O,POKAZATEL, 4368.636921,    39,    45,      6,      7,  6  1  0  2  0  B1                               ,  5  2  0  2  0  B2                               
   38.464168,    0.000002,2.6547E-03,2.4766E-20,H2O,1H2-16O,POKAZATEL,  134.901644,    21,    15,      3,      2,  1  2  0  0  0  B2                               ,  2  1  0  0  0  B1                               
   38.472297,    0.000028,1.5946E-04,1.8770E-24,H2O,1H2-16O,POKAZATEL, 1774.750359,    69,    75,     11,     12,  3  8  0  0  0  B2                               ,  2 11  0  0  0  B1                               
   38.532373,    0.000117,1.9587E-04,2.6976E-26,H2O,1H2-16O,POKAZATEL, 2701.887985,    69,    63,     11,     10,  9  2  0  0  0  B2                               , 10  1  0  0  0  B1                               
   38.532382,    0.000117,1.9587E-04,8.9918E-27,H2O,1H2-16O,POKAZATEL, 2701.887986,    23,    21,     11,     10,  9  3  0  0  0  A2                               , 10  0  0  0  0  A1                               
   38.637525,    0.000004,1.3979E-03,2.4647E-21,H2O,1H2-16O,POKAZATEL,  610.341138,    39,    33,      6,      5,  3  4  0  0  0  B2                               ,  4  1  0  0  0  B1                               
   38.698420,    0.000001,2.7449E-03,6.2405E-28,H2O,1H2-16O,POKAZATEL, 3788.694180,    21,    15,      3,      2,  1  2  1  0  0  B2                               ,  2  1  1  0  0  B1                               
   38.756462,    0.000003,2.4510E-02,1.2235E-27,H2O,1H2-16O,POKAZATEL, 3927.802715,     9,     9,      4,      4,  2  2  1  0  0  A1                               ,  1  3  1  0  0  A2                               
   38.790550,    0.000000,2.2715E-02,1.7460E-19,H2O,1H2-16O,POKAZATEL,  173.365812,    21,    21,      3,      3,  2  1  0  0  0  B1                               ,  1  2  0  0  0  B2                               
   38.972211,    0.000004,9.3390E-04,1.1671E-22,H2O,1H2-16O,POKAZATEL, 1216.194305,    51,    45,      8,      7,  5  4  0  0  0  B2                               ,  6  1  0  0  0  B1                               
   39.010509,    0.000024,8.5577E-04,5.9982E-29,H2O,1H2-16O,POKAZATEL, 4126.463219,    33,    27,      5,      4,  2  4  0  0  1  B2                               ,  3  1  0  0  1  B1                               
   39.111251,    0.000002,1.1675E-03,2.0567E-22,H2O,1H2-16O,POKAZATEL,  888.632617,    15,    13,      7,      6,  4  4  0  0  0  A1                               ,  5  1  0  0  0  A2                               
   39.504883,    0.000005,1.6921E-02,1.0758E-27,H2O,1H2-16O,POKAZATEL, 3750.464614,     5,     5,      2,      2,  2  0  1  0  0  A1                               ,  1  1  1  0  0  A2                               
   39.721771,    0.000004,9.9059E-04,4.0417E-23,H2O,1H2-16O,POKAZATEL, 1216.189681,    17,    15,      8,      7,  5  3  0  0  0  A2                               ,  6  2  0  0  0  A1                               
   39.922205,    0.000002,1.5310E-03,2.4698E-26,H2O,1H2-16O,POKAZATEL, 3101.123568,    57,    51,      9,      8,  5  4  0  1  0  B2                               ,  6  3  0  1  0  B1                               
   39.997524,    0.000087,2.7111E-02,1.4974E-29,H2O,1H2-16O,POKAZATEL, 4737.202399,     5,     5,      2,      2,  1  1  0  3  0  A2                               ,  0  2  0  3  0  A1                               
   40.220785,    0.000020,2.2528E-02,2.6042E-23,H2O,1H2-16O,POKAZATEL, 1594.746306,     3,     1,      1,      0,  1  1  0  1  0  A2                               ,  0  0  0  1  0  A1                               
   40.282486,    0.000001,2.8303E-02,5.4823E-20,H2O,1H2-16O,POKAZATEL,  275.497057,     9,     9,      4,      4,  2  2  0  0  0  A1                               ,  1  3  0  0  0  A2                               
